Gender,LunchType,TestPrep
female,standard,not completed
female,standard,not completed
male,standard,not completed
female,free,not completed
female,free,not completed
female,standard,not completed
female,standard,not completed
female,free,not completed
male,standard,not completed
female,free,not completed
female,standard,not completed
female,standard,completed
female,standard,not completed
female,standard,completed
female,standard,completed
female,standard,not completed
male,standard,completed
female,free,not completed
male,free,completed
female,standard,not completed
male,standard,not completed
female,standard,not completed
female,standard,not completed
female,standard,not completed
female,free,completed
male,free,not completed
female,standard,completed
male,standard,completed
female,standard,not completed
male,standard,completed
male,standard,not completed
